round,model,template,winner_bidder,V,b_win,profit
1,GPT-5,baseline,4,106.09434159508862,118,-11.905658404911378
2,GPT-5,baseline,2,79.20031787519008,95,-15.79968212480992
3,GPT-5,baseline,1,115.00902391612914,124,-8.990976083870862
4,GPT-5,baseline,4,118.81129432782429,133,-14.188705672175715
5,GPT-5,baseline,3,60.97929622692328,73,-12.020703773076718
6,GPT-5,baseline,1,73.95640986275365,85,-11.043590137246355
7,GPT-5,baseline,2,102.55680806334573,112,-9.443191936654273
8,GPT-5,baseline,3,93.67514815312836,107,-13.324851846871638
9,GPT-5,baseline,2,99.66397684991422,98,1.6639768499142207
10,GPT-5,baseline,3,82.9391214485284,91,-8.060878551471603
11,GPT-5,baseline,2,117.58795949725658,144,-26.412040502743423
12,GPT-5,baseline,2,115.55583870857896,111,4.5558387085789604
13,GPT-5,baseline,1,101.32061395122432,112,-10.679386048775683
14,GPT-5,baseline,3,122.54482413936066,124,-1.4551758606393435
15,GPT-5,baseline,3,109.35018684504092,141,-31.649813154959077
16,GPT-5,baseline,4,82.81415074233524,110,-27.185849257664756
17,GPT-5,baseline,3,107.37501568164998,137,-29.624984318350016
18,GPT-5,baseline,1,80.82234798342003,75,5.8223479834200305
19,GPT-5,baseline,1,117.56900602614544,121,-3.430993973854555
20,GPT-5,baseline,4,99.00148178027494,157,-57.99851821972506
21,GPT-5,baseline,4,96.3027527290948,102,-5.697247270905194
22,GPT-5,baseline,4,86.38140911192117,84,2.3814091119211724
23,GPT-5,baseline,1,124.4508267734806,136,-11.5491732265194
24,GPT-5,baseline,4,96.90941035862396,132,-35.09058964137604
25,GPT-5,baseline,2,91.43344355673786,111,-19.566556443262144
26,GPT-5,baseline,3,92.9573289902354,136,-43.042671009764604
27,GPT-5,baseline,3,110.64618371106698,129,-18.353816288933018
28,GPT-5,baseline,4,107.30888128728157,116,-8.691118712718435
29,GPT-5,baseline,4,108.25465223191976,112,-3.7453477680802365
30,GPT-5,baseline,1,108.61642006015764,126,-17.383579939842363
1,GPT-5,debias,4,106.09434159508862,94,12.094341595088622
2,GPT-5,debias,1,79.20031787519008,85,-5.7996821248099195
3,GPT-5,debias,1,115.00902391612914,120,-4.990976083870862
